Name	RA	Dec	V	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
GD 10B	01 07 00.369	+39 31 35.07	14.194	+0.572	+0.013	+0.332	+0.334	+0.668	8	4	0.0018	0.0019	0.0022	0.0016	0.0040	0.0048	
GD 10C	01 07 05.379	+39 31 28.37	14.388	+0.522	-0.037	+0.307	+0.328	+0.632	6	3	0.0019	0.0037	0.0022	0.0039	0.0060	0.0065	
GD 11	01 09 23.224	+37 32 45.78	15.235	-0.223	-1.058	-0.075	-0.164	-0.238	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 275	01 18 54.162	+52 27 13.59	15.683	+0.144	-0.526	+0.029	-0.058	-0.027	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 275A	01 18 54.297	+52 27 49.99	15.019	+1.483	+1.363	+0.821	+0.776	+1.596	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 418	01 23 24.123	+64 54 17.02	14.951	+0.785	+0.080	+0.510	+0.503	+1.013	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 276	01 23 50.663	+47 47 14.62	16.501	+0.170	-0.633	+0.070	+0.044	+0.113	2	1	0.0049	0.0127	0.0064	0.0014	0.0481	0.0488	
GD 277	01 29 23.992	+51 08 46.99	13.536	-0.105	-0.906	-0.104	-0.107	-0.213	14	6	0.0009	0.0013	0.0026	0.0007	0.0026	0.0034	
GD 277A	01 29 28.971	+51 09 19.49	13.811	+1.258	+0.980	+0.707	+0.671	+1.383	13	6	0.0017	0.0005	0.0061	0.0009	0.0010	0.0024	
GD 277B	01 29 29.917	+51 08 02.46	14.524	+0.659	+0.276	+0.427	+0.427	+0.857	14	6	0.0019	0.0009	0.0039	0.0029	0.0010	0.0035	
GD 13A	01 29 40.762	+42 27 54.91	15.001	+0.751	+0.308	+0.439	+0.386	+0.826	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 13	01 29 42.654	+42 28 18.01	14.885	-0.089	-0.914	-0.001	+0.247	+0.236	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 278	01 30 58.075	+53 21 39.40	14.899	+0.186	-0.240	+0.072	+0.035	+0.099	4	3	0.0087	0.0037	0.0028	0.0050	0.0094	0.0096	
GD 278A	01 30 58.464	+53 22 17.91	14.851	+1.447	+1.724	+0.807	+0.753	+1.561	5	3	0.0020	0.0041	0.0087	0.0037	0.0045	0.0067	
GD 278B	01 31 06.659	+53 20 17.12	14.205	+0.693	+0.190	+0.449	+0.467	+0.920	4	2	0.0010	0.0025	0.0055	0.0040	0.0065	0.0100	
GD 421A	01 50 28.859	+67 44 10.59	14.579	+2.597	+2.140	+1.544	+1.391	+2.930	2	1	0.0021	0.0318	0.1202	0.0021	0.0014	0.0028	
GD 421C	01 50 34.378	+67 41 53.09	12.158	+2.375	+2.636	+1.349	+1.232	+2.576	2	1	0.0007	0.0028	0.1259	0.0007	0.0007	0.0014	
GD 421B	01 50 35.942	+67 43 57.79	14.407	+1.197	+0.812	+0.654	+0.603	+1.256	2	1	0.0021	0.0057	0.0431	0.0071	0.0028	0.0021	
GD 421	01 51 10.260	+67 39 32.25	14.414	-0.213	-1.068	-0.095	-0.062	-0.158	4	2	0.0055	0.0040	0.0045	0.0060	0.0095	0.0130	
GD 421D	01 51 31.415	+67 42 39.05	12.455	+1.128	+0.712	+0.678	+0.669	+1.345	2	1	0.0028	0.0007	0.0057	0.0007	0.0071	0.0071	
GD 279F	01 51 55.046	+46 58 52.28	13.946	+0.568	+0.095	+0.343	+0.338	+0.679	6	3	0.0050	0.0029	0.0020	0.0025	0.0029	0.0048	
GD 279H	01 51 55.520	+47 01 37.32	10.389	+1.118	+0.958	+0.605	+0.547	+1.148	8	4	0.0010	0.0020	0.0016	0.0004	0.0004	0.0010	
GD 279D	01 51 59.862	+47 03 02.63	13.241	+0.558	+0.027	+0.334	+0.332	+0.662	8	4	0.0005	0.0009	0.0011	0.0005	0.0022	0.0011	
GD 279C	01 52 00.142	+47 01 40.56	13.913	+1.068	+0.780	+0.571	+0.520	+1.102	10	5	0.0011	0.0011	0.0051	0.0007	0.0014	0.0007	
GD 279B	01 52 02.409	+47 01 41.48	11.714	+0.267	+0.138	+0.146	+0.165	+0.313	8	4	0.0009	0.0008	0.0013	0.0009	0.0004	0.0010	
GD 279	01 52 02.960	+47 00 06.64	12.457	+0.087	-0.613	-0.079	-0.056	-0.132	12	7	0.0010	0.0006	0.0020	0.0005	0.0022	0.0015	
GD 279A	01 52 02.968	+47 00 34.16	13.050	+0.996	+0.686	+0.554	+0.519	+1.073	13	6	0.0005	0.0012	0.0040	0.0013	0.0009	0.0008	
GD 279E	01 52 03.399	+47 03 18.06	14.011	+0.736	+0.281	+0.415	+0.395	+0.813	8	4	0.0007	0.0008	0.0026	0.0027	0.0043	0.0014	
GD 279G	01 52 05.094	+46 58 51.38	14.156	+0.535	+0.029	+0.325	+0.342	+0.671	8	4	0.0033	0.0029	0.0038	0.0039	0.0027	0.0046	
GD 279I	01 52 09.789	+47 00 03.75	14.443	+0.979	+0.582	+0.545	+0.535	+1.079	8	4	0.0028	0.0035	0.0166	0.0032	0.0078	0.0099	
GD 281	02 03 12.919	+54 48 28.68	13.955	+0.587	-0.047	+0.386	+0.368	+0.754	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 283	02 35 30.708	+57 15 24.50	13.736	+0.145	-0.533	-0.029	-0.008	-0.039	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 38	03 02 30.970	+38 01 00.10	15.740	-0.214	-1.102	-0.164	-0.184	-0.346	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 23-195	03 43 51.964	+45 10 02.52	12.125	+0.688	+0.275	+0.421	+0.429	+0.855	20	10	0.0008	0.0009	0.0019	0.0008	0.0008	0.0009	
SA 23-198	03 43 56.438	+45 09 41.46	11.559	+0.192	-0.389	+0.133	+0.144	+0.274	18	10	0.0009	0.0009	0.0012	0.0007	0.0007	0.0004	
SA 23-15	03 44 05.128	+45 06 03.00	10.658	+0.375	+0.167	+0.202	+0.213	+0.415	12	7	0.0006	0.0005	0.0013	0.0005	0.0009	0.0005	
SA 23-402	03 44 23.010	+45 23 37.73	9.835	+0.172	-0.455	+0.110	+0.114	+0.226	17	9	0.0008	0.0010	0.0016	0.0004	0.0006	0.0007	
SA 23-241	03 44 36.960	+45 17 59.22	12.312	+0.768	+0.249	+0.458	+0.448	+0.904	13	7	0.0013	0.0016	0.0028	0.0007	0.0008	0.0009	
SA 23-45	03 44 42.135	+45 04 43.53	9.972	+1.249	+1.160	+0.663	+0.594	+1.250	13	7	0.0013	0.0007	0.0007	0.0004	0.0007	0.0005	
SA 23-246	03 44 43.903	+45 18 01.25	11.700	+0.278	+0.124	+0.154	+0.165	+0.318	11	6	0.0010	0.0005	0.0022	0.0005	0.0005	0.0010	
SA 23-561	03 44 53.412	+45 30 25.87	10.546	+0.515	+0.391	+0.287	+0.301	+0.589	9	5	0.0005	0.0010	0.0011	0.0009	0.0007	0.0006	
SA 23-418	03 44 56.347	+45 18 59.93	11.716	+0.700	+0.154	+0.407	+0.385	+0.798	10	5	0.0005	0.0008	0.0013	0.0012	0.0006	0.0006	
SA 23-57	03 44 59.361	+45 03 47.90	10.368	+1.879	+2.213	+1.169	+1.265	+2.443	16	8	0.0007	0.0013	0.0041	0.0009	0.0009	0.0008	
SA 23-264	03 45 04.420	+45 17 48.41	10.335	+1.098	+0.993	+0.591	+0.521	+1.109	9	5	0.0012	0.0012	0.0013	0.0005	0.0006	0.0012	
SA 23-433	03 45 27.133	+45 28 46.63	14.526	+0.658	+0.380	+0.386	+0.386	+0.775	6	3	0.0013	0.0018	0.0014	0.0030	0.0013	0.0050	
SA 23-435	03 45 31.545	+45 27 19.89	13.474	+0.755	+0.220	+0.469	+0.476	+0.945	15	7	0.0012	0.0005	0.0032	0.0013	0.0008	0.0006	
SA 23-436	03 45 33.388	+45 27 12.92	13.876	+1.645	+1.671	+0.915	+0.840	+1.762	20	8	0.0016	0.0025	0.0034	0.0010	0.0005	0.0010	
SA 23-438	03 45 35.825	+45 24 31.45	13.327	+0.886	+0.362	+0.511	+0.514	+1.024	2	1	0.0007	0.0035	0.0113	0.0014	0.0049	0.0028	
SA 23-439	03 45 38.594	+45 25 15.33	14.999	+0.869	+0.340	+0.512	+0.537	+1.049	2	1	0.0057	0.0042	0.0141	0.0014	0.0198	0.0177	
SA 23-440	03 45 39.288	+45 28 12.70	12.030	+0.861	+0.423	+0.493	+0.464	+0.964	3	2	0.0035	0.0006	0.0046	0.0029	0.0012	0.0023	
SA 23-441	03 45 39.328	+45 25 37.28	14.512	+1.004	+0.511	+0.573	+0.556	+1.132	7	3	0.0098	0.0038	0.0125	0.0042	0.0045	0.0030	
SA 23-443	03 45 45.754	+45 25 33.98	10.691	+0.604	+0.195	+0.368	+0.369	+0.740	2	1	0.0014	0.0014	0.0035	0.0007	0.0007	0.0014	
SA 23-444	03 45 48.007	+45 27 17.36	15.433	+0.932	+0.470	+0.550	+0.514	+1.071	4	2	0.0030	0.0125	0.0455	0.0065	0.0105	0.0035	
SA 23-300	03 45 56.378	+45 14 43.91	9.437	+0.474	-0.005	+0.293	+0.287	+0.579	9	5	0.0007	0.0007	0.0013	0.0007	0.0014	0.0007	
GD 61C	04 38 27.184	+41 10 07.68	13.731	+0.548	+0.320	+0.344	+0.357	+0.697	14	7	0.0009	0.0007	0.0013	0.0006	0.0010	0.0013	
GD 61B	04 38 29.122	+41 11 00.48	14.129	+0.317	+0.139	+0.191	+0.232	+0.431	14	7	0.0006	0.0011	0.0006	0.0018	0.0021	0.0012	
GD 61	04 38 39.369	+41 09 32.37	14.879	-0.112	-0.966	-0.053	-0.043	-0.091	16	7	0.0008	0.0011	0.0025	0.0027	0.0088	0.0108	
GD 61A	04 38 41.533	+41 10 51.24	14.420	+0.415	+0.227	+0.261	+0.327	+0.595	14	7	0.0005	0.0015	0.0010	0.0007	0.0022	0.0038	
GD 64D	04 57 08.313	+41 55 12.86	12.799	+0.595	+0.190	+0.370	+0.368	+0.739	2	1	0.0014	0.0007	0.0071	0.0071	0.0007	0.0007	
GD 64B	04 57 18.332	+41 55 28.12	13.923	+0.700	+0.151	+0.443	+0.432	+0.880	2	1	0.0014	0.0035	0.0156	0.0014	0.0007	0.0007	
GD 64C	04 57 21.370	+41 54 23.70	12.915	+0.625	+0.075	+0.406	+0.406	+0.815	2	1	0.0071	0.0071	0.0085	0.0014	0.0021	0.0071	
GD 64	04 57 22.540	+41 55 56.45	13.976	+0.063	-0.559	-0.074	-0.069	-0.146	3	2	0.0021	0.0080	0.0075	0.0058	0.0014	0.0007	
GD 64A	04 57 25.311	+41 55 30.57	14.438	+0.658	+0.114	+0.414	+0.416	+0.834	3	2	0.0058	0.0054	0.0088	0.0007	0.0027	0.0014	
GD 64E	04 57 26.257	+41 55 52.18	11.531	+0.239	+0.071	+0.144	+0.171	+0.313	2	1	0.0007	0.0014	0.0014	0.0007	0.0021	0.0035	
GD 64F	04 57 28.704	+41 55 50.45	12.195	+1.819	+2.177	+1.082	+1.036	+2.123	2	1	0.0014	0.0007	0.0021	0.0014	0.0035	0.0014	
SA 26-219	06 42 23.097	+44 47 54.40	10.632	+0.509	+0.004	+0.323	+0.326	+0.651	15	7	0.0011	0.0005	0.0006	0.0004	0.0004	0.0007	
SA 26-27	06 42 39.409	+44 31 47.34	10.860	+0.611	+0.113	+0.375	+0.355	+0.732	10	5	0.0009	0.0008	0.0017	0.0006	0.0010	0.0016	
SA 26-231	06 42 51.320	+44 51 18.46	10.732	+1.117	+0.920	+0.599	+0.549	+1.144	14	7	0.0011	0.0005	0.0008	0.0006	0.0004	0.0003	
SA 26-135	06 42 58.715	+44 38 52.53	9.117	+1.110	+0.918	+0.583	+0.530	+1.113	7	4	0.0019	0.0006	0.0011	0.0005	0.0012	0.0013	
SA 26-234	06 43 07.334	+44 50 32.75	9.371	+0.583	+0.150	+0.339	+0.317	+0.655	12	6	0.0011	0.0005	0.0008	0.0004	0.0004	0.0004	
SA 26-139	06 43 09.275	+44 40 03.79	11.335	+0.838	+0.542	+0.468	+0.404	+0.875	13	7	0.0019	0.0008	0.0022	0.0006	0.0003	0.0004	
SA 26-150	06 43 37.042	+44 43 20.73	9.506	+1.010	+0.747	+0.539	+0.494	+1.040	10	5	0.0006	0.0005	0.0014	0.0004	0.0011	0.0013	
SA 26-58	06 43 38.231	+44 25 11.15	8.507	+0.535	+0.047	+0.315	+0.297	+0.612	4	2	0.0035	0.0005	0.0020	0.0015	0.0015	0.0005	
SA 26-60	06 43 41.731	+44 30 45.40	9.542	+0.125	+0.175	+0.088	+0.069	+0.157	8	4	0.0030	0.0009	0.0009	0.0009	0.0019	0.0010	
SA 26-262	06 44 05.750	+44 47 22.64	13.100	+0.741	+0.253	+0.430	+0.412	+0.842	6	3	0.0045	0.0015	0.0032	0.0010	0.0011	0.0021	
SA 26-264	06 44 14.139	+44 46 42.13	15.092	+0.631	+0.097	+0.376	+0.347	+0.715	12	6	0.0018	0.0028	0.0062	0.0027	0.0054	0.0078	
SA 26-265	06 44 14.929	+44 47 41.53	14.459	+0.602	-0.066	+0.384	+0.401	+0.792	25	12	0.0027	0.0027	0.0026	0.0011	0.0030	0.0027	
SA 26-268	06 44 19.474	+44 47 35.10	15.366	+1.029	+0.819	+0.615	+0.533	+1.138	10	5	0.0073	0.0032	0.0241	0.0070	0.0100	0.0168	
SA 26-269	06 44 21.694	+44 47 43.74	14.855	+0.535	+0.062	+0.303	+0.371	+0.672	3	2	0.0044	0.0007	0.0027	0.0014	0.0094	0.0093	
SA 26-272	06 44 24.818	+44 46 17.78	14.399	+0.919	+0.582	+0.510	+0.465	+1.000	3	2	0.0054	0.0058	0.0091	0.0014	0.0085	0.0085	
SA 26-273	06 44 25.825	+44 48 21.60	15.338	+0.722	+0.204	+0.442	+0.356	+0.776	3	2	0.0083	0.0095	0.0085	0.0077	0.0099	0.0099	
SA 26-172	06 44 31.718	+44 34 05.88	9.580	+0.264	+0.123	+0.144	+0.147	+0.289	12	6	0.0010	0.0006	0.0013	0.0009	0.0014	0.0006	
SA 26-278	06 44 32.844	+44 47 18.28	15.360	+0.765	+0.167	+0.517	+0.437	+0.950	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 26-279	06 44 38.232	+44 46 44.95	14.634	+0.661	+0.080	+0.401	+0.362	+0.764	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 26-280	06 44 39.784	+44 48 25.64	11.089	+1.082	+0.844	+0.579	+0.537	+1.125	15	8	0.0011	0.0010	0.0011	0.0006	0.0012	0.0006	
SA 26-93	06 45 13.215	+44 30 56.56	11.071	+1.700	+1.772	+1.378	+1.629	+3.001	20	11	0.0040	0.0008	0.0030	0.0025	0.0006	0.0007	
SA 26-95	06 45 16.159	+44 32 04.67	11.988	+0.546	+0.016	+0.326	+0.321	+0.644	24	12	0.0024	0.0017	0.0050	0.0011	0.0012	0.0015	
SA 26-96	06 45 17.185	+44 27 43.18	10.750	+0.548	+0.010	+0.332	+0.331	+0.664	2	1	0.0014	0.0014	0.0085	0.0021	0.0014	0.0035	
GD 91	08 30 09.451	+45 20 30.39	15.069	+0.182	-0.520	+0.037	+0.060	+0.094	5	3	0.0045	0.0080	0.0031	0.0094	0.0157	0.0103	
GD 91B	08 30 10.294	+45 19 10.14	13.626	+0.969	+0.838	+0.543	+0.454	+0.993	5	3	0.0040	0.0022	0.0157	0.0022	0.0045	0.0022	
GD 91A	08 30 16.361	+45 19 50.28	12.437	+1.018	+0.767	+0.532	+0.504	+1.037	5	3	0.0013	0.0022	0.0076	0.0009	0.0027	0.0022	
PG0837+401B	08 40 58.400	+39 56 27.82	13.702	+0.710	+0.163	+0.424	+0.402	+0.820	7	4	0.0127	0.0066	0.0028	0.0040	0.0021	0.0021	
PG0837+401C	08 41 00.157	+39 55 54.49	12.181	+0.556	+0.021	+0.338	+0.346	+0.685	7	4	0.0015	0.0019	0.0016	0.0018	0.0018	0.0032	
PG0837+401	08 41 01.307	+39 56 18.13	15.506	-0.245	-0.986	-0.136	-0.262	-0.396	11	5	0.0049	0.0015	0.0030	0.0074	0.0120	0.0116	
PG0837+401A	08 41 04.495	+39 57 05.65	14.752	+0.922	+0.747	+0.536	+0.472	+1.016	11	5	0.0025	0.0010	0.0035	0.0010	0.0071	0.0069	
KUV 345-30A	08 43 09.810	+39 46 15.09	14.619	+0.627	+0.072	+0.365	+0.366	+0.730	5	2	0.0018	0.0031	0.0098	0.0022	0.0022	0.0009	
KUV 345-30	08 43 12.709	+39 44 49.73	14.324	-0.279	-1.127	-0.121	-0.141	-0.263	4	2	0.0025	0.0020	0.0055	0.0025	0.0095	0.0090	
PG0846+558B	08 49 41.020	+55 36 08.52	14.799	+0.745	+0.142	+0.424	+0.416	+0.842	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
PG0846+558A	08 49 42.276	+55 34 45.17	14.691	+0.842	+0.396	+0.467	+0.455	+0.923	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
PG0846+558	08 49 51.084	+55 35 14.94	16.435	-0.207	-1.043	-0.073	+0.051	-0.026	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 98B	08 57 09.788	+40 18 35.13	14.001	+0.630	+0.115	+0.359	+0.346	+0.708	16	8	0.0006	0.0006	0.0006	0.0015	0.0019	0.0015	
GD 98A	08 57 17.818	+40 17 53.92	13.461	+0.920	+0.619	+0.508	+0.472	+0.979	24	12	0.0010	0.0005	0.0023	0.0004	0.0011	0.0014	
GD 98	08 57 30.443	+40 16 12.62	14.823	-0.126	-0.931	-0.112	-0.116	-0.233	26	12	0.0005	0.0009	0.0020	0.0031	0.0053	0.0052	
GD 299	09 38 20.351	+55 05 50.08	12.093	-0.269	-1.158	-0.085	-0.078	-0.168	12	6	0.0028	0.0010	0.0020	0.0015	0.0017	0.0018	
SA 29-153	09 41 34.127	+44 12 25.37	8.790	+1.111	+1.089	+0.570	+0.505	+1.071	10	5	0.0022	0.0008	0.0005	0.0012	0.0005	0.0004	
SA 29-157	09 42 01.262	+44 11 46.38	11.291	+0.812	+0.450	+0.449	+0.427	+0.874	18	9	0.0014	0.0006	0.0021	0.0007	0.0005	0.0008	
SA 29-350	09 42 08.386	+44 32 57.10	10.295	+0.478	-0.006	+0.285	+0.275	+0.563	19	9	0.0007	0.0006	0.0004	0.0004	0.0006	0.0007	
SA 29-22	09 42 49.281	+43 49 35.75	10.474	+0.565	+0.108	+0.324	+0.299	+0.630	16	8	0.0006	0.0004	0.0009	0.0004	0.0005	0.0005	
SA 29-24	09 42 58.482	+43 50 04.87	9.590	+0.549	+0.015	+0.323	+0.318	+0.645	14	7	0.0010	0.0004	0.0006	0.0011	0.0006	0.0007	
SA 29-303	09 44 53.037	+44 25 07.54	8.292	+0.602	+0.174	+0.344	+0.329	+0.674	4	4	0.0040	0.0005	0.0010	0.0010	0.0015	0.0010	
SA 29-322	09 46 31.722	+44 22 32.87	9.766	+0.488	+0.030	+0.285	+0.262	+0.560	14	7	0.0004	0.0004	0.0006	0.0005	0.0006	0.0010	
SA 29-324	09 46 53.607	+44 25 05.72	11.304	+1.117	+1.075	+0.582	+0.516	+1.097	21	11	0.0005	0.0009	0.0024	0.0005	0.0006	0.0009	
PG0943+521A	09 47 03.487	+51 55 09.32	14.497	+0.916	+0.624	+0.573	+0.512	+1.089	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 29-327	09 47 04.537	+44 22 31.17	12.133	+0.803	+0.384	+0.458	+0.428	+0.893	23	12	0.0007	0.0009	0.0020	0.0007	0.0011	0.0006	
SA 29-399	09 47 05.253	+44 41 02.64	13.111	+0.638	+0.125	+0.357	+0.351	+0.705	17	9	0.0017	0.0015	0.0020	0.0013	0.0010	0.0016	
SA 29-400	09 47 08.212	+44 40 07.66	14.019	+0.900	+0.510	+0.503	+0.489	+0.987	6	3	0.0015	0.0026	0.0115	0.0024	0.0006	0.0014	
PG0943+521	09 47 11.942	+51 54 08.91	15.123	+0.211	-0.983	+0.214	+0.277	+0.494	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 29-402	09 47 16.900	+44 38 20.30	13.875	+0.863	+0.610	+0.468	+0.403	+0.875	5	3	0.0019	0.0018	0.0007	0.0007	0.0005	0.0017	
SA 29-404	09 47 19.809	+44 40 26.74	13.075	+0.800	+0.501	+0.433	+0.373	+0.811	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
SA 29-331	09 47 19.945	+44 24 28.55	10.001	+0.943	+0.634	+0.504	+0.475	+0.976	21	10	0.0006	0.0005	0.0008	0.0006	0.0004	0.0003	
SA 29-405	09 47 20.158	+44 41 08.31	15.431	+0.791	+0.412	+0.478	+0.462	+0.942	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
