Name	RA	Dec	V_ref	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
98 626	06 51 52.394	-00 20 43.28	14.758	1.406	1.067	0.806	0.816	1.624	2	1	0.0071	0.0028	0.0438	0.0092	0.0205	0.0113	
98 627	06 51 53.01	-00 22 01.0	14.9	0.689	0.078	0.428	0.387	0.817	2	1	0.0064	0.017	0.0085	0.0007	0.0127	0.0127	
98 634	06 51 55.741	-00 20 55.11	14.608	0.647	0.123	0.382	0.372	0.757	2	1	0.0042	0.0049	0.0127	0.0113	0.0177	0.0064	
98 642	06 51 59.018	-00 21 31.71	15.29	0.571	0.318	0.302	0.393	0.697	2	1	0.0191	0.0453	0.012	0.0198	0.0021	0.0177	
98 185	06 52 01.886	-00 27 21.57	10.537	0.202	0.114	0.11	0.122	0.231	79	68	0.001	0.0005	0.0012	0.0004	0.0006	0.0007	
98 646	06 52 02.281	-00 21 15.97	15.839	1.06	1.426	0.583	0.504	1.09	1	1	nan	nan	nan	nan	nan	nan	
98 193	06 52 03.381	-00 27 18.41	10.026	1.176	1.152	0.614	0.536	1.151	99	84	0.0005	0.0005	0.0016	0.0005	0.0004	0.0006	
98 650	06 52 04.528	-00 19 38.29	12.271	0.157	0.11	0.08	0.086	0.166	31	20	0.002	0.0014	0.0041	0.0016	0.0022	0.0027	
98 652	06 52 04.815	-00 21 55.63	14.817	0.611	0.126	0.276	0.339	0.618	2	1	0.0113	0.0297	0.0177	0.0453	0.024	0.0226	
98 653	06 52 04.954	-00 18 18.26	9.538	-0.003	-0.102	0.01	0.009	0.017	114	98	0.0007	0.0003	0.0008	0.0004	0.0005	0.0007	
98 666	06 52 09.945	-00 23 32.01	12.732	0.164	-0.004	0.091	0.108	0.2	25	14	0.0034	0.0028	0.0042	0.0042	0.003	0.0048	
98 670	06 52 11.514	-00 19 16.37	11.93	1.357	1.325	0.727	0.654	1.381	80	66	0.0005	0.0009	0.0036	0.0004	0.0005	0.0007	
98 671	06 52 11.830	-00 18 25.30	13.385	0.968	0.719	0.575	0.494	1.071	27	15	0.0037	0.0048	0.0108	0.0033	0.0035	0.0046	
98 675	06 52 13.341	-00 19 40.36	13.398	1.909	1.936	1.082	1.002	2.085	44	21	0.0026	0.0035	0.0283	0.0018	0.0018	0.0024	
98 676	06 52 13.728	-00 19 20.15	13.068	1.146	0.666	0.683	0.673	1.352	17	8	0.0032	0.0041	0.0107	0.0015	0.0218	0.0032	
98 L5	06 52 15.73	-00 19 44.4	17.8	1.9	-0.1	3.1	2.6	5.8	6	3	0.1633	0.3266	0.4491	0.1225	0.0408	0.1225	
98 682	06 52 16.504	-00 19 40.97	13.749	0.632	0.098	0.366	0.352	0.717	13	7	0.0039	0.0039	0.0064	0.0017	0.0025	0.0039	
98 685	06 52 18.468	-00 20 19.51	11.954	0.463	0.096	0.29	0.28	0.57	22	14	0.003	0.0021	0.0028	0.0023	0.0021	0.0034	
98 688	06 52 18.874	-00 23 32.82	12.754	0.293	0.245	0.158	0.18	0.337	21	11	0.0033	0.0024	0.0081	0.0037	0.005	0.0074	
98 1082	06 52 20.184	-00 14 13.63	15.01	0.835	-0.001	0.485	0.619	1.102	3	1	0.0058	0.0139	0.0225	0.0029	0.0133	0.0162	
98 1087	06 52 21.099	-00 15 50.42	14.439	1.595	1.284	0.928	0.882	1.812	12	5	0.004	0.0141	0.0592	0.0035	0.0049	0.0072	
98 1102	06 52 27.949	-00 13 43.08	12.113	0.314	0.089	0.193	0.195	0.388	15	8	0.0034	0.0026	0.0059	0.0026	0.0036	0.0052	
98 1112	06 52 34.895	-00 15 25.84	13.975	0.814	0.286	0.443	0.431	0.874	5	2	0.0067	0.004	0.0152	0.0054	0.0031	0.0076	
98 1119	06 52 36.710	-00 14 31.61	11.878	0.551	0.069	0.312	0.299	0.611	7	4	0.0023	0.0038	0.0042	0.0019	0.0042	0.0045	
98 724	06 52 37.225	-00 19 20.39	11.118	1.104	0.904	0.575	0.527	1.103	12	7	0.0035	0.0035	0.0052	0.0023	0.0023	0.0038	
98 1122	06 52 37.558	-00 17 03.70	14.09	0.595	-0.297	0.376	0.442	0.816	25	12	0.0034	0.006	0.0074	0.0038	0.0028	0.0046	
98 1124	06 52 38.050	-00 16 33.43	13.707	0.315	0.258	0.173	0.201	0.373	24	12	0.0035	0.0043	0.008	0.0029	0.0051	0.0057	
98 733	06 52 40.073	-00 17 14.67	12.238	1.285	1.087	0.698	0.65	1.347	20	10	0.0034	0.0042	0.006	0.0029	0.0022	0.004	
Ru 149G	07 24 11.928	-00 31 58.11	12.829	0.541	0.033	0.322	0.322	0.645	18	12	0.0026	0.004	0.0042	0.0021	0.0026	0.004	
Ru 149A	07 24 13.216	-00 32 53.11	14.495	0.298	0.118	0.196	0.196	0.391	18	12	0.0066	0.0052	0.0111	0.0099	0.0085	0.0139	
Ru 149F	07 24 14.077	-00 31 38.69	13.471	1.115	1.025	0.594	0.538	1.132	19	11	0.0028	0.0078	0.0223	0.0021	0.0023	0.0034	
Ru 149	07 24 14.372	-00 33 04.17	13.866	-0.129	-0.779	-0.04	-0.068	-0.108	46	30	0.0022	0.0027	0.0031	0.0022	0.0062	0.0069	
Ru 149D	07 24 15.378	-00 32 47.84	11.48	-0.037	-0.287	0.021	0.008	0.029	18	11	0.0019	0.0021	0.0028	0.0012	0.0019	0.0024	
Ru 149C	07 24 17.312	-00 32 25.78	14.425	0.195	0.141	0.093	0.127	0.222	18	11	0.0052	0.0042	0.0111	0.0061	0.0099	0.0106	
Ru 149B	07 24 17.572	-00 33 06.18	12.642	0.662	0.151	0.374	0.354	0.728	15	10	0.0021	0.0034	0.0049	0.0018	0.0026	0.0028	
Ru 149E	07 24 18.409	-00 31 18.58	13.718	0.522	-0.007	0.321	0.314	0.637	12	8	0.0064	0.0049	0.0069	0.0035	0.0066	0.0087	
Ru 152F	07 29 53.755	-02 04 51.80	14.564	0.635	0.069	0.382	0.315	0.689	15	8	0.0052	0.0057	0.0096	0.0067	0.0176	0.0222	
Ru 152E	07 29 54.256	-02 05 30.83	12.362	0.042	-0.086	0.03	0.034	0.065	12	8	0.0014	0.002	0.002	0.0014	0.0023	0.0029	
Ru 152	07 29 58.476	-02 06 37.59	13.017	-0.187	-1.081	-0.059	-0.088	-0.147	48	33	0.0011	0.0017	0.0023	0.0012	0.0025	0.0027	
Ru 152B	07 29 59.241	-02 05 57.46	15.019	0.5	0.022	0.29	0.309	0.6	23	10	0.0046	0.0088	0.0181	0.0054	0.0175	0.0211	
Ru 152A	07 30 00.483	-02 06 22.67	14.341	0.543	-0.085	0.325	0.329	0.654	14	8	0.0061	0.0086	0.0168	0.0051	0.0094	0.0131	
Ru 152C	07 30 02.57	-02 05 39.3	12.222	0.573	-0.013	0.342	0.34	0.683	13	9	0.0025	0.0031	0.0033	0.0022	0.0019	0.0031	
Ru 152D	07 30 06.076	-02 04 37.51	11.076	0.875	0.491	0.473	0.449	0.921	14	10	0.0013	0.0016	0.0024	0.0011	0.0019	0.0019	
99 6	07 53 33.338	-00 49 37.45	11.055	1.252	1.289	0.65	0.577	1.227	49	38	0.0005	0.001	0.0021	0.0005	0.0004	0.0007	
99 367	07 54 11.855	-00 25 35.18	11.152	1.005	0.832	0.531	0.477	1.007	54	44	0.0007	0.0009	0.0017	0.0004	0.0005	0.0007	
99 408	07 55 13.012	-00 25 32.85	9.807	0.402	0.038	0.253	0.247	0.5	57	46	0.0007	0.0006	0.0008	0.0006	0.0002	0.0007	
99 438	07 55 54.270	-00 16 49.08	9.397	-0.156	-0.729	-0.06	-0.081	-0.142	148	130	0.001	0.0005	0.001	0.0004	0.0005	0.0006	
99 447	07 56 06.686	-00 20 42.37	9.419	-0.068	-0.22	-0.031	-0.041	-0.073	108	97	0.0006	0.0005	0.0008	0.0004	0.0004	0.0006	
100 241	08 52 34.049	-00 39 48.96	10.14	0.157	0.106	0.078	0.085	0.162	67	57	0.0006	0.0005	0.0009	0.0004	0.0004	0.0004	
100 162	08 53 14.418	-00 43 30.35	9.15	1.276	1.495	0.649	0.552	1.202	86	67	0.0009	0.0008	0.0012	0.0004	0.0006	0.0006	
100 267	08 53 17.212	-00 41 29.35	13.027	0.485	-0.062	0.307	0.302	0.608	3	3	0.0069	0.0023	0.0133	0.0075	0.004	0.004	
100 269	08 53 18.464	-00 41 09.81	12.35	0.547	-0.04	0.335	0.331	0.666	3	3	0.0035	0.0029	0.015	0.0035	0.0029	0.0017	
100 280	08 53 35.477	-00 36 41.16	11.799	0.493	-0.001	0.295	0.291	0.588	72	61	0.0007	0.0007	0.001	0.0006	0.0006	0.0009	
100 394	08 53 54.515	-00 32 22.08	11.384	1.317	1.457	0.705	0.636	1.341	9	5	0.008	0.004	0.0087	0.0023	0.0027	0.003	
PG0918+029D	09 21 21.936	+02 47 28.28	12.272	1.044	0.821	0.575	0.535	1.108	19	11	0.0021	0.003	0.0071	0.0016	0.0018	0.0018	
PG0918+029	09 21 28.217	+02 46 02.27	13.327	-0.271	-1.081	-0.129	-0.159	-0.288	45	27	0.0024	0.0024	0.003	0.0019	0.0055	0.0063	
PG0918+029B	09 21 32.924	+02 47 59.08	13.963	0.765	0.366	0.417	0.37	0.787	20	11	0.0034	0.0072	0.0159	0.0025	0.0045	0.0056	
PG0918+029A	09 21 35.107	+02 46 19.43	14.49	0.536	-0.032	0.325	0.336	0.661	29	14	0.0033	0.0058	0.0095	0.0039	0.0076	0.0085	
PG0918+029C	09 21 42.306	+02 46 37.07	13.537	0.631	0.087	0.367	0.357	0.722	21	10	0.002	0.0028	0.0048	0.0015	0.0022	0.0028	
BD -12 2918	09 31 19.37	-13 29 19.3	10.067	1.501	1.166	1.067	1.318	2.385	13	9	0.0025	0.0028	0.0075	0.0039	0.0022	0.0042	
PG0942-029D	09 45 08.637	-03 05 54.45	13.683	0.576	0.064	0.341	0.329	0.668	13	8	0.0009	0.0029	0.0054	0.0015	0.0039	0.0044	
PG0942-029A	09 45 09.90	-03 10 14.2	14.738	0.888	0.552	0.563	0.474	1.035	16	8	0.0021	0.0021	0.0065	0.0023	0.0041	0.005	
PG0942-029B	09 45 11.574	-03 06 58.11	14.105	0.573	0.014	0.353	0.341	0.693	13	8	0.0022	0.0014	0.0043	0.0018	0.0036	0.0041	
PG0942-029	09 45 11.85	-03 09 21.0	14.012	-0.298	-1.177	-0.132	-0.165	-0.296	21	13	0.0022	0.0025	0.0031	0.0026	0.0058	0.0067	
PG0942-029C	09 45 14.386	-03 06 40.28	14.95	0.803	0.338	0.488	0.395	0.884	16	8	0.0024	0.0024	0.0049	0.0021	0.0045	0.0053	
101 315	09 54 51.298	-00 27 31.09	11.249	1.153	1.056	0.612	0.559	1.172	19	11	0.0037	0.0018	0.0067	0.0016	0.0011	0.0021	
101 316	09 54 52.034	-00 18 34.51	11.552	0.493	0.032	0.293	0.291	0.584	17	10	0.0027	0.0024	0.0036	0.0019	0.0029	0.0032	
101 L1	09 55 29.09	-00 21 42.6	16.501	0.757	-0.104	0.421	0.527	0.947	4	1	0.031	0.034	0.029	0.0225	0.0855	0.107	
101 320	09 55 32.924	-00 22 32.72	13.823	1.052	0.69	0.581	0.561	1.141	11	7	0.0048	0.0103	0.0181	0.0039	0.0036	0.0045	
101 L2	09 55 34.688	-00 18 50.10	15.77	0.602	0.082	0.321	0.304	0.625	1	1	nan	nan	nan	nan	nan	nan	
101 404	09 55 40.673	-00 18 22.23	13.459	0.996	0.697	0.53	0.5	1.029	12	7	0.004	0.0078	0.0095	0.0049	0.0032	0.0055	
101 324	09 55 56.650	-00 23 15.10	9.737	1.161	1.145	0.591	0.519	1.109	60	47	0.0005	0.0008	0.0018	0.0006	0.0007	0.001	
101 408	09 56 08.001	-00 12 41.28	14.785	1.2	1.347	0.718	0.603	1.321	2	1	0.024	0.0438	0.017	0.017	0.012	0.0297	
101 262	09 56 08.096	-00 29 50.50	14.295	0.784	0.297	0.44	0.387	0.827	4	2	0.0045	0.016	0.0205	0.0075	0.01	0.0035	
101 326	09 56 08.101	-00 27 10.94	14.923	0.729	0.227	0.406	0.375	0.78	13	6	0.0078	0.0094	0.0128	0.0055	0.0111	0.0122	
101 327	09 56 08.86	-00 25 53.5	13.441	1.155	1.139	0.717	0.574	1.29	28	15	0.0032	0.0057	0.0098	0.0023	0.0017	0.0028	
101 410	09 56 09.136	-00 14 02.23	13.646	0.546	-0.063	0.298	0.326	0.623	2	1	0.0085	0.0014	0.0021	0.0106	0.0035	0.0064	
101 413	09 56 14.009	-00 11 54.86	12.583	0.983	0.716	0.529	0.497	1.025	9	6	0.0023	0.0047	0.0103	0.0033	0.004	0.004	
101 268	09 56 17.377	-00 31 57.05	14.38	1.531	1.381	1.04	1.2	2.237	11	5	0.0078	0.0199	0.0769	0.0048	0.0036	0.0045	
101 330	09 56 20.587	-00 27 22.12	13.723	0.577	-0.026	0.346	0.338	0.684	28	14	0.0038	0.0038	0.0051	0.0028	0.0057	0.0064	
101 415	09 56 23.145	-00 16 53.02	15.259	0.577	-0.008	0.346	0.35	0.695	2	1	0.0028	0.0247	0.0021	0.0198	0.0134	0.0332	
101 270	09 56 27.023	-00 35 44.15	13.711	0.554	0.055	0.332	0.306	0.637	2	1	nan	0.0014	0.0127	0.0049	0.0071	0.0014	
101 278	09 56 54.467	-00 29 38.39	15.494	1.041	0.737	0.596	0.548	1.144	2	1	0.0184	0.0226	0.0269	0.0198	0.0148	0.0346	
101 L3	09 56 55.025	-00 30 25.47	15.953	0.637	-0.033	0.396	0.395	0.792	2	1	0.0233	0.0184	0.0707	0.0382	0.0488	0.087	
101 281	09 57 05.02	-00 31 43.2	11.576	0.812	0.415	0.453	0.412	0.864	23	15	0.0023	0.0013	0.0031	0.0013	0.0009	0.0013	
101 L4	09 57 07.76	-00 31 24.4	16.264	0.793	0.362	0.578	0.062	0.644	2	1	0.017	0.0141	0.0014	0.0191	0.2638	0.2807	
101 L5	09 57 10.21	-00 30 40.3	15.928	0.622	0.115	0.414	0.305	0.72	2	1	0.0106	0.0283	0.0863	0.0078	0.0134	0.0212	
101 421	09 57 16.107	-00 17 18.20	13.18	0.507	-0.031	0.327	0.296	0.623	2	1	0.0021	0.0021	0.0035	0.0021	0.0007	0.0014	
101 338	09 57 17.754	-00 21 00.34	13.788	0.634	0.024	0.35	0.34	0.691	2	1	0.0071	0.0071	0.0042	0.0021	0.0035	0.0014	
101 339	09 57 18.389	-00 25 01.80	14.449	0.85	0.501	0.458	0.398	0.857	2	1	0.0099	0.0085	0.0099	0.024	0.0042	0.029	
101 424	09 57 20.263	-00 16 25.88	15.058	0.764	0.273	0.429	0.425	0.855	2	1	0.0276	0.0389	0.0191	0.0226	0.0205	0.0431	
101 427	09 57 26.429	-00 17 16.96	14.964	0.805	0.321	0.484	0.369	0.854	2	1	0.0269	0.0297	0.0014	0.0247	0.0113	0.0368	
101 341	09 57 29.828	-00 21 53.80	14.342	0.575	0.059	0.332	0.309	0.641	2	1	0.0113	0.0141	0.0071	0.0007	0.0078	0.0071	
101 342	09 57 31.21	-00 21 50.9	15.556	0.529	-0.065	0.339	0.419	0.758	2	1	0.0141	0.0085	0.0085	0.024	0.0021	0.0226	
101 343	09 57 31.301	-00 22 55.34	15.504	0.606	0.094	0.396	0.338	0.734	2	1	0.0276	0.0488	0.0177	0.0226	0.0255	0.0481	
101 429	09 57 31.73	-00 18 15.2	13.496	0.98	0.782	0.617	0.526	1.143	23	13	0.0039	0.0019	0.006	0.0017	0.002	0.003	
101 431	09 57 37.322	-00 17 53.28	13.684	1.246	1.144	0.808	0.708	1.517	23	13	0.0056	0.0063	0.0102	0.0033	0.0029	0.0042	
101 L6	09 57 39.54	-00 17 53.8	16.497	0.711	0.183	0.445	0.583	1.024	2	1	0.0219	0.0092	0.0311	0.0113	0.1648	0.1732	
101 207	09 57 52.495	-00 47 36.17	12.421	0.513	-0.08	0.32	0.323	0.645	26	18	0.0016	0.0018	0.0039	0.0014	0.0016	0.0015	
101 363	09 58 18.722	-00 25 36.51	9.874	0.26	0.132	0.146	0.151	0.297	57	48	0.001	0.0006	0.0016	0.0007	0.0007	0.001	
GD 108A	10 00 39.585	-07 33 25.10	13.881	0.789	0.316	0.458	0.449	0.909	15	8	0.0018	0.0032	0.0066	0.001	0.0011	0.0011	
GD 108B	10 00 42.665	-07 31 07.90	15.056	0.839	0.364	0.463	0.466	0.924	20	9	0.0019	0.0043	0.0092	0.0029	0.0022	0.0048	
GD 108	10 00 47.25	-07 33 31.0	13.563	-0.214	-0.943	-0.099	-0.118	-0.218	22	13	0.0025	0.0038	0.0039	0.0024	0.0026	0.0026	
GD 108C	10 00 55.223	-07 30 29.59	13.819	0.786	0.345	0.435	0.393	0.825	16	9	0.0011	0.0034	0.0037	0.0031	0.002	0.0043	
GD 108D	10 00 55.916	-07 34 51.83	14.235	0.641	0.078	0.372	0.357	0.731	16	8	0.001	0.002	0.005	0.0022	0.0042	0.0034	
BD +1 2447	10 28 55.551	+00 50 27.56	9.65	1.501	1.238	1.033	1.225	2.261	24	14	0.0027	0.0046	0.0082	0.0024	0.0016	0.003	
G162 66	10 33 42.763	-11 41 38.35	13.012	-0.165	-0.997	-0.126	-0.141	-0.266	88	71	0.0014	0.001	0.0019	0.0009	0.002	0.0025	
G44 27	10 36 01.21	+05 07 12.8	12.636	1.586	1.088	1.185	1.526	2.714	8	4	0.012	0.0106	0.0106	0.0046	0.0039	0.0032	
PG1034+001	10 37 03.803	-00 08 19.11	13.228	-0.365	-1.274	-0.155	-0.203	-0.359	33	16	0.0024	0.0024	0.0033	0.0026	0.0042	0.0054	
G163 6	10 42 54.16	+02 47 20.6	14.706	1.55	1.228	1.09	1.384	2.478	4	3	0.007	0.0115	0.0655	0.009	0.0015	0.0085	
PG1047+003	10 50 02.825	-00 00 36.85	13.474	-0.29	-1.121	-0.132	-0.162	-0.295	32	18	0.0039	0.003	0.0041	0.0037	0.0088	0.011	
PG1047+003A	10 50 05.653	-00 01 11.25	13.512	0.688	0.168	0.422	0.418	0.84	15	7	0.0046	0.0049	0.0067	0.0026	0.0026	0.0036	
PG1047+003B	10 50 07.915	-00 02 04.36	14.751	0.679	0.172	0.391	0.371	0.764	13	5	0.005	0.0086	0.0128	0.0022	0.008	0.0086	
PG1047+003C	10 50 13.682	-00 00 32.35	12.453	0.607	-0.019	0.378	0.358	0.737	11	6	0.0093	0.0024	0.006	0.0036	0.0033	0.0045	
G44 40	10 50 52.01	+06 48 29.3	11.675	1.644	1.213	1.216	1.568	2.786	13	6	0.0033	0.0031	0.0092	0.0031	0.0017	0.0039	
102 620	10 55 04.231	-00 48 18.88	10.074	1.08	1.025	0.645	0.524	1.169	82	72	0.0006	0.0005	0.0014	0.0004	0.0006	0.0007	
G45 20	10 56 28.91	+07 00 53.2	13.507	2.034	1.165	1.823	2.174	4	19	10	0.006	0.0069	0.0346	0.0073	0.0025	0.0062	
102 1081	10 57 04.045	-00 13 12.87	9.903	0.664	0.258	0.366	0.332	0.697	89	80	0.0007	0.0006	0.0013	0.0005	0.0006	0.0008	
G163 27	10 57 35.18	-07 31 23.3	14.338	0.288	-0.548	0.206	0.21	0.417	26	15	0.0055	0.0047	0.0065	0.0041	0.0075	0.0082	
G163 51E	11 07 22.332	-05 16 13.86	14.466	0.611	0.095	0.381	0.344	0.725	1	1	0.015	0.015	0.02	0.015	0.015	0.015	
G163 51B	11 07 32.846	-05 12 37.29	11.292	0.623	0.119	0.355	0.336	0.692	6	3	0.0029	0.0016	0.0024	0.0012	0.002	0.0029	
G163 51C	11 07 33.782	-05 14 20.26	12.672	0.431	-0.009	0.267	0.272	0.54	6	3	0.0033	0.0049	0.0061	0.0024	0.0024	0.0045	
G163 51D	11 07 34.915	-05 15 00.50	13.862	0.844	0.202	0.478	0.466	0.945	6	3	0.0041	0.0029	0.0171	0.0045	0.0086	0.0114	
G163 51A	11 07 37.196	-05 12 23.31	12.504	0.666	0.06	0.382	0.371	0.753	6	3	0.0037	0.002	0.0037	0.0037	0.0037	0.0057	
G163 50	11 07 59.950	-05 09 26.10	13.057	0.036	-0.696	-0.084	-0.072	-0.158	84	70	0.0009	0.0012	0.0014	0.0009	0.0016	0.0022	
G163 51	11 08 06.539	-05 13 47.19	12.559	1.499	1.195	1.08	1.355	2.434	47	34	0.0012	0.0021	0.0087	0.001	0.0008	0.0012	
BD +5 2468	11 15 30.897	+04 57 23.52	9.352	-0.114	-0.543	-0.035	-0.052	-0.089	42	35	0.0017	0.001	0.0017	0.0006	0.0012	0.0013	
HD 100340	11 32 49.941	+05 16 36.23	10.115	-0.234	-0.975	-0.104	-0.135	-0.238	37	28	0.0012	0.001	0.0018	0.0005	0.0009	0.0011	
BD +5 2529	11 41 49.593	+05 08 26.54	9.585	1.233	1.194	0.783	0.667	1.452	35	27	0.0011	0.0012	0.0024	0.0009	0.0007	0.0011	
G10 50	11 47 44.390	+00 48 16.40	11.153	1.752	1.318	1.294	1.673	2.969	14	7	0.0024	0.0024	0.0078	0.0037	0.0021	0.0037	
SA 103-302	11 56 06.021	-00 47 54.36	9.859	0.37	-0.057	0.23	0.236	0.465	76	63	0.0007	0.0005	0.0009	0.0005	0.0007	0.0009	
SA 103-526	11 56 54.182	-00 30 13.47	10.89	1.09	0.936	0.56	0.501	1.056	9	6	0.0005	0.001	0.0005	0.0011	0.0005	0.0014	
SA 103-626	11 56 46.156	-00 23 14.71	11.820	0.414	-0.057	0.263	0.274	0.537	4	2	0.0030	0.0010	0.0045	0.0010	0.0005	0.0015	
SA 103-528	11 57 00.826	-00 26 01.45	11.776	+0.583	+0.014	+0.339	+0.336	+0.674	4	2	0.0040	0.0025	0.0045	0.0010	0.0025	0.0025	
G12 43	12 33 17.38	+09 01 15.8	12.467	1.846	1.085	1.53	1.944	3.479	13	6	0.0042	0.0053	0.0466	0.0053	0.0039	0.0033	
SA 104 306	12 41 03.619	-00 37 13.83	9.37	1.592	1.666	0.832	0.762	1.591	89	68	0.0067	0.003	0.0059	0.002	0.0024	0.0033	
SA 104 423	12 41 35.959	-00 31 11.26	15.602	0.63	0.05	0.262	0.559	0.818	2	1	0.0247	0.0389	0.0269	0.0361	0.1167	0.152	
SA 104 428	12 41 41.284	-00 26 26.13	12.63	0.985	0.748	0.534	0.497	1.032	25	16	0.0038	0.0028	0.0044	0.0024	0.0018	0.0036	
SA 104 L1	12 41 49.42	-00 21 01.2	14.608	0.63	0.064	0.374	0.364	0.739	2	1	0.0007	0.0014	0.0127	0.0113	0.0163	0.0042	
SA 104 430	12 41 50.259	-00 25 52.44	13.858	0.652	0.131	0.364	0.363	0.727	15	8	0.0052	0.0062	0.0085	0.0046	0.0041	0.0065	
SA 104 325	12 42 02.210	-00 41 35.93	15.581	0.694	0.051	0.345	0.307	0.652	2	1	0.0163	0.0431	0.0219	0.0255	0.0148	0.0403	
SA 104 330	12 42 11.418	-00 40 41.44	15.296	0.594	-0.028	0.369	0.371	0.739	15	6	0.0103	0.0276	0.0155	0.0124	0.0214	0.0225	
SA 104 440	12 42 14.30	-00 24 46.3	15.114	0.44	-0.227	0.289	0.317	0.605	11	5	0.0081	0.0084	0.0103	0.0069	0.0232	0.0262	
SA 104 237	12 42 16.874	-00 51 18.21	15.395	1.088	0.918	0.647	0.628	1.274	1	1	nan	nan	nan	nan	nan	nan	
SA 104 L2	12 42 19.621	-00 34 23.90	16.048	0.65	-0.172	0.344	0.323	0.667	4	2	0.019	0.0265	0.045	0.0295	0.0755	0.1	
SA 104 443	12 42 19.813	-00 25 21.21	15.372	1.331	1.28	0.817	0.778	1.595	3	2	0.0087	0.0023	0.112	0.0139	0.0104	0.0202	
SA 104 444	12 42 20.021	-00 32 28.17	13.477	0.512	-0.07	0.313	0.331	0.643	2	1	0.0014	0.0099	0.0085	0.0021	0.0014	0.0007	
SA 104 334	12 42 20.425	-00 40 28.35	13.484	0.518	-0.067	0.323	0.331	0.653	24	16	0.0047	0.0031	0.0039	0.0029	0.0031	0.0047	
104 335	12 42 20.894	-00 33 08.19	11.665	0.622	0.145	0.357	0.334	0.691	4	2	0.0095	0.001	0.002	0.0035	0.0045	0.007	
104 239	12 42 22.91	-00 46 35.6	13.936	1.356	1.291	0.868	0.805	1.675	7	3	0.006	0.0087	0.0231	0.0045	0.003	0.0057	
104 336	12 42 24.64	-00 39 58.0	14.404	0.83	0.495	0.461	0.403	0.865	14	6	0.0067	0.0072	0.0123	0.0059	0.0099	0.0104	
104 338	12 42 30.142	-00 38 32.39	16.059	0.591	-0.082	0.348	0.372	0.719	8	5	0.0078	0.0219	0.0368	0.0088	0.0209	0.017	
104 339	12 42 33.298	-00 41 39.88	15.459	0.832	0.709	0.476	0.374	0.849	1	1	nan	nan	nan	nan	nan	nan	
104 244	12 42 34.235	-00 45 47.06	16.011	0.59	-0.152	0.338	0.489	0.825	2	2	0.0092	0.0057	0.0113	0.0035	0.0269	0.029	
104 455	12 42 52.116	-00 24 17.43	15.105	0.581	-0.024	0.36	0.357	0.716	13	7	0.0067	0.0144	0.0122	0.0053	0.0089	0.0122	
104 456	12 42 53.505	-00 32 00.91	12.362	0.622	0.135	0.357	0.337	0.694	4	2	0.0025	0.0025	0.0045	0.0035	0.0065	0.008	
104 457	12 42 54.195	-00 28 48.68	16.048	0.753	0.522	0.484	0.49	0.974	9	4	0.0107	0.0187	0.077	0.0183	0.037	0.0213	
104 460	12 43 02.86	-00 28 19.0	12.895	1.281	1.246	0.813	0.695	1.511	36	28	0.0019	0.0014	0.0026	0.0006	0.001	0.0015	
104 461	12 43 06.031	-00 32 18.01	9.705	0.476	-0.035	0.288	0.289	0.579	112	90	0.0005	0.0006	0.0009	0.0004	0.0005	0.0005	
104 350	12 43 14.204	-00 33 20.54	13.634	0.673	0.165	0.383	0.353	0.736	14	7	0.0043	0.0035	0.0056	0.0032	0.0045	0.0061	
104 470	12 43 22.314	-00 29 52.83	14.31	0.732	0.101	0.295	0.356	0.649	3	1	0.0121	0.0092	0.0202	0.0133	0.0035	0.015	
104 364	12 43 45.986	-00 34 31.63	15.799	0.601	-0.131	0.314	0.397	0.712	2	1	0.0156	0.0488	0.0559	0.0085	0.041	0.0495	
104 366	12 43 53.17	-00 34 45.4	12.908	0.87	0.424	0.517	0.464	0.982	1	1	nan	nan	nan	nan	nan	nan	
104 479	12 43 55.279	-00 32 49.39	16.087	1.271	0.673	0.657	0.607	1.264	2	1	0.0339	0.0276	0.3995	0.0028	0.0035	0.0071	
104 367	12 43 58.453	-00 33 33.87	15.844	0.639	-0.126	0.382	0.296	0.679	2	1	0.0255	0.0212	0.0156	0.0177	0.0042	0.0226	
104 484	12 44 20.526	-00 30 54.29	14.406	1.024	0.732	0.514	0.486	1	2	1	0.0071	0.0184	0.0134	0.0057	0.0064	0.012	
104 485	12 44 23.810	-00 30 16.38	15.017	0.838	0.493	0.478	0.488	0.967	2	1	0.0113	0.0339	0.0226	0.0014	0.0113	0.0099	
104 490	12 44 33.454	-00 25 51.78	12.572	0.535	0.048	0.318	0.312	0.63	12	8	0.0029	0.0032	0.0052	0.0023	0.0023	0.0026	
104 598	12 45 16.779	-00 16 40.47	11.478	1.108	1.051	0.667	0.545	1.214	88	76	0.001	0.0008	0.0023	0.0004	0.0004	0.0005	
PG1323-086	13 25 39.468	-08 49 19.12	13.481	-0.14	-0.681	-0.048	-0.078	-0.127	39	18	0.0019	0.0022	0.0026	0.0018	0.0045	0.0045	
PG1323-086A	13 25 49.722	-08 50 23.53	13.591	0.393	-0.019	0.252	0.252	0.506	20	12	0.0257	0.0022	0.0045	0.0027	0.0047	0.006	
PG1323-086C	13 25 50.222	-08 48 38.94	14.003	0.707	0.245	0.395	0.363	0.759	26	13	0.0031	0.0027	0.0076	0.0024	0.0041	0.0049	
